329,Unripe_,1,1220,75,60,95
330,Unripe_,1,1197,34,78,141
331,Unripe_,1,1172,27,108,148
332,Unripe_,1,1147,28,138,148
333,Unripe_,1,1113,27,146,148
334,Unripe_,1,1088,30,135,148
335,Unripe_,1,1049,29,145,145
336,Unripe_,1,1018,29,139,144
337,Unripe_,1,983,29,138,144
338,Unripe_,1,952,29,134,145
339,Unripe_,1,918,29,135,145
340,Unripe_,1,882,27,133,148
341,Unripe_,1,848,28,132,149
342,Unripe_,1,812,28,129,150
343,Unripe_,1,776,31,132,149
344,Unripe_,1,744,32,125,149
345,Unripe_,1,709,33,127,149
346,Unripe_,1,676,34,123,151
347,Unripe_,1,641,35,124,149
348,Unripe_,1,606,35,120,150
349,Unripe_,1,570,36,124,147
350,Unripe_,1,533,35,123,149
350,Unripe_,2,1245,160,35,97
351,Unripe_,1,457,36,124,150
351,Unripe_,2,1162,165,113,105
352,Unripe_,1,413,37,131,149
352,Unripe_,2,1126,174,106,102
353,Unripe_,1,372,37,129,149
353,Unripe_,2,1081,173,110,101
353,Unripe_,3,1219,322,61,81
354,Unripe_,1,326,39,136,147
354,Unripe_,2,1035,147,107,123
354,Unripe_,3,1169,323,101,80
355,Unripe_,1,289,39,133,148
355,Unripe_,2,992,149,109,123
355,Unripe_,3,1119,324,90,78
356,Unripe_,1,249,40,131,146
356,Unripe_,2,951,151,106,121
356,Unripe_,3,1071,324,91,86
357,Unripe_,1,207,42,126,143
357,Unripe_,2,910,152,101,121
357,Unripe_,3,1018,324,93,88
358,Unripe_,1,167,42,130,145
358,Unripe_,2,867,157,100,119
358,Unripe_,3,965,326,93,86
359,Unripe_,1,126,44,130,145
359,Unripe_,2,824,159,97,118
359,Unripe_,3,915,329,89,85
360,Unripe_,1,87,48,132,142
360,Unripe_,2,779,161,97,118
360,Unripe_,3,864,330,87,85
361,Unripe_,1,47,52,134,139
361,Unripe_,2,736,163,94,117
361,Unripe_,3,814,331,85,86
362,Unripe_,1,6,53,136,139
362,Unripe_,2,693,165,93,118
362,Unripe_,3,761,333,86,86
362,Unripe_,5,807,210,73,72
363,Unripe_,1,0,54,102,139
363,Unripe_,2,649,166,96,119
363,Unripe_,3,710,335,86,84
364,Unripe_,2,605,166,90,124
